source_id,target_id,rel_type,rel_subtype,rel_desc_chn,direction,year_start,year_end,weight,evidence_level,source_ref,cbdb_assoc_code,cbdb_role_type,source_table,c_source,c_pages,c_sequence,c_text_title,orig_personid,orig_assoc_id
92516,3605,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,438,P,ASSOC_DATA,40303,1239,,[n/a],3605,92516
92516,3605,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,ASSOC_DATA,40303,1239,,[n/a],92516,3605
92516,24654,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,438,P,ASSOC_DATA,40303,1237,,[n/a],24654,92516
92516,24654,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,ASSOC_DATA,40303,1237,,[n/a],92516,24654
92516,91931,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,438,P,ASSOC_DATA,40303,1237,,[n/a],91931,92516
92516,91931,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,ASSOC_DATA,40303,1237,,[n/a],92516,91931
92673,13575,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,438,P,ASSOC_DATA,40303,1317,,[n/a],13575,92673
92673,13575,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,ASSOC_DATA,40303,1317,,[n/a],92673,13575
92673,92147,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,438,P,ASSOC_DATA,40303,1319,,[n/a],92147,92673
92673,92147,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,ASSOC_DATA,40303,1319,,[n/a],92673,92147
92673,94160,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,ASSOC_DATA,40303,1318,,[n/a],92673,94160
92673,94160,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,438,P,ASSOC_DATA,40303,1318,,[n/a],94160,92673
92673,94227,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,ASSOC_DATA,40303,1317,,[n/a],92673,94227
92673,94227,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,438,P,ASSOC_DATA,40303,1317,,[n/a],94227,92673
92673,94864,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,ASSOC_DATA,40303,1316,,[n/a],92673,94864
92673,94864,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,438,P,ASSOC_DATA,40303,1316,,[n/a],94864,92673
92673,447419,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,ASSOC_DATA,40303,1317,,[n/a],92673,447419
92673,447419,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,438,P,ASSOC_DATA,40303,1317,,[n/a],447419,92673
92743,32227,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,438,P,ASSOC_DATA,40303,81,,[n/a],32227,92743
92743,32227,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,ASSOC_DATA,40303,81,,[n/a],92743,32227
92743,32540,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,438,P,ASSOC_DATA,40303,83,,[n/a],32540,92743
92743,32540,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,ASSOC_DATA,40303,83,,[n/a],92743,32540
92899,13060,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,438,P,ASSOC_DATA,40303,766,,[n/a],13060,92899
92899,13060,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,ASSOC_DATA,40303,766,,[n/a],92899,13060
92899,31066,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,438,P,ASSOC_DATA,40303,767,,[n/a],31066,92899
92899,31066,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,ASSOC_DATA,40303,767,,[n/a],92899,31066
92982,15161,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,438,P,ASSOC_DATA,40303,801,,[n/a],15161,92982
92982,15161,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,ASSOC_DATA,40303,801,,[n/a],92982,15161
92982,21194,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,438,P,ASSOC_DATA,40303,801,,[n/a],21194,92982
92982,21194,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,ASSOC_DATA,40303,801,,[n/a],92982,21194
92982,32054,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,438,P,ASSOC_DATA,40303,800,,[n/a],32054,92982
92982,32054,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,ASSOC_DATA,40303,800,,[n/a],92982,32054
92982,32227,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,438,P,ASSOC_DATA,40303,800,,[n/a],32227,92982
92982,32227,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,ASSOC_DATA,40303,800,,[n/a],92982,32227
92982,32822,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,438,P,ASSOC_DATA,40303,801,,[n/a],32822,92982
92982,32822,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,ASSOC_DATA,40303,801,,[n/a],92982,32822
92982,32917,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,438,P,ASSOC_DATA,40303,801,,[n/a],32917,92982
92982,32917,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,ASSOC_DATA,40303,801,,[n/a],92982,32917
92982,33606,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,438,P,ASSOC_DATA,40303,802,,[n/a],33606,92982
92982,33606,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,ASSOC_DATA,40303,802,,[n/a],92982,33606
92982,95210,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,ASSOC_DATA,40303,802,,[n/a],92982,95210
92982,95210,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,438,P,ASSOC_DATA,40303,802,,[n/a],95210,92982
93080,92743,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,438,P,ASSOC_DATA,40303,780,,[n/a],92743,93080
93080,92743,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,ASSOC_DATA,40303,780,,[n/a],93080,92743
93080,94160,KIN,K_AFFINAL,岳父,directed,,,0.7,primary,Pers DB / 唐代人物知識ベース,76,KIN,KIN_DATA,24309,pers01404,,,93080,94160
93080,94227,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,唐五代人交往詩索引,437,A,ASSOC_DATA,40303,780,,[n/a],93080,94227
