c_personid,name_chn,name_rm,surname_chn,given_name_chn,birthyear,deathyear,is_female,dynasty_code,dynasty_chn,dynasty_en,role,bridge_tier
446733,崔龜從,Cui Guicong,崔,龜從,,,0,6,唐,Tang,bridge,B
446753,崔潭峻,Cui Tanjun,崔,潭峻,,,0,6,唐,Tang,bridge,C
446768,崔渙,Cui Huan,崔,渙,,,0,6,唐,Tang,bridge,B
446786,崔載華,Cui Zaihua,崔,載華,,,0,6,唐,Tang,bridge,C
446797,崔嘏,Cui Gu,崔,嘏,,,0,6,唐,Tang,bridge,B
446811,崔咸,Cui Xian,崔,咸,,,0,6,唐,Tang,bridge,C
446812,崔戎,Cui Rong,崔,戎,,,0,6,唐,Tang,bridge,C
446820,崔固,Cui Gu,崔,固,,,0,6,唐,Tang,bridge,C
446821,崔圓,Cui Yuan,崔,圓,,,0,6,唐,Tang,bridge,B
446859,崔尚,Cui Shang,崔,尚,,,0,6,唐,Tang,bridge,B
446872,牟融,Mou Rong,牟,融,,,0,6,唐,Tang,bridge,C
446875,釋德玄,Shi Dexuan,釋,德玄,,,0,6,唐,Tang,bridge,C
446880,儲嗣宗,Chu Sizong,儲,嗣宗,,,0,6,唐,Tang,bridge,C
446959,釋自省,Shi Zixing,釋,自省,,,0,6,唐,Tang,bridge,C
446976,皇甫會,Huangfu Hui,皇甫,會,,,0,6,唐,Tang,bridge,B
446982,息夫牧,Xifu Mu,息夫,牧,,,0,6,唐,Tang,bridge,A
447047,吳筠,Wu Jun,吳,筠,,,0,6,唐,Tang,bridge,B
447110,殷文圭,Yin Wengui,殷,文圭,,,0,6,唐,Tang,bridge,B
447124,殷少野,Yin Shaoye,殷,少野,,,0,6,唐,Tang,bridge,A
447143,鄔載,Wu Zai,鄔,載,,,0,6,唐,Tang,bridge,B
447149,鄒象先,Zou Xiangxian,鄒,象先,,,0,6,唐,Tang,bridge,A
447201,徐夤,Xu Yin,徐,夤,,,0,6,唐,Tang,bridge,B
447213,徐凝,Xu Ning,徐,凝,,,0,6,唐,Tang,bridge,B
447260,房白,Fang Bai,房,白,,,0,6,唐,Tang,bridge,A
447332,竇希玠,Dou Xijie,竇,希玠,,,0,6,唐,Tang,bridge,C
447346,釋宗密,Shi Zongmi,釋,宗密,780,841,0,6,唐,Tang,bridge,B
447465,梁鍠,Liang Huang,梁,鍠,,,0,6,唐,Tang,bridge,C
447478,沈千運,Shen Qianyun,沈,千運,,,0,6,唐,Tang,bridge,C
447485,沈傳師,Shen Chuanshi,沈,傳師,,,0,6,唐,Tang,bridge,B
447489,沈述師,Shen Shushi,沈,述師,,,0,6,唐,Tang,bridge,C
447504,沈光,Shen Guang,沈,光,,,0,6,唐,Tang,bridge,C
447532,釋造微,Shi Zaowei,釋,造微,,,0,6,唐,Tang,bridge,B
447535,釋清徹,Shi Qingche,釋,清徹,,,0,6,唐,Tang,bridge,B
447541,清遠, Qingyuan,,清遠,,,0,6,唐,Tang,bridge,B
447581,湯悅,Tang Yue,湯,悅,,,0,6,唐,Tang,bridge,A
447594,渾鎬,Hun Hao,渾,鎬,,,0,6,唐,Tang,bridge,C
447631,釋道俊,Shi Daojun,釋,道俊,,,0,6,唐,Tang,bridge,C
447701,李方玄,Li Fangxuan,李,方玄,,,0,6,唐,Tang,bridge,B
447719,李讓夷,Li Rangyi,李,讓夷,,,0,6,唐,Tang,bridge,B
447721,李褎,Li You,李,褎,,,0,6,唐,Tang,bridge,B
447722,李玄,Li Xuan,李,玄,,,0,6,唐,Tang,bridge,C
447728,李新,Li Xin,李,新,,,0,6,唐,Tang,bridge,A
447734,李詡,Li Xu,李,詡,,,0,6,唐,Tang,bridge,C
447735,李誦,Li Song,李,誦,,,0,6,唐,Tang,bridge,B
447753,李元素,Li Yuansu,李,元素,,,0,6,唐,Tang,bridge,C
447783,李逢勳,Li Fengxun,李,逢勳,,,0,6,唐,Tang,bridge,C
447803,李億,Li Yi,李,億,,,0,6,唐,Tang,bridge,B
447853,李勉,Li Mian,李,勉,,,0,6,唐,Tang,bridge,B
447857,李幼卿,Li Youqing,李,幼卿,,,0,6,唐,Tang,bridge,B
447867,李仲宣,Li Zhongxuan,李,仲宣,,,0,6,唐,Tang,bridge,A
447879,李皋,Li Gao,李,皋,,,0,6,唐,Tang,bridge,B
447906,李紓,Li Shu,李,紓,,,0,6,唐,Tang,bridge,B
447918,李從益,Li Congyi,李,從益,,,0,6,唐,Tang,bridge,A
447952,李定言,Li Dingyan,李,定言,,,0,6,唐,Tang,bridge,C
447993,李湊,Li Cou,李,湊,,,0,6,唐,Tang,bridge,C
