c_personid,c_name_chn,c_birthyear,c_deathyear,category,period,selection_basis,assoc_count,source
15610,魏徵,580,643,政治家,初唐,唐宋文学编年地图; 直言敢谏,9,map+cbdb
188616,李煜,0,712,诗人/君主,五代,唐宋文学编年地图; 南唐后主,9,map+cbdb
30982,王勃,650,676,诗人,初唐,唐宋文学编年地图; 初唐四杰,8,map+cbdb
94116,皇甫湜,777,835,诗人,中唐,唐宋文学编年地图,8,map+cbdb
32985,令狐綯,0,861,政治家,晚唐,唐宋文学编年地图,7,map+cbdb
450316,鄭巢,0,0,诗人,晚唐,唐宋文学编年地图,7,map+cbdb
94575,崔塗,850,0,诗人,晚唐,唐宋文学编年地图,6,map+cbdb
19214,蘇味道,0,0,诗人,初唐,唐宋文学编年地图,5,map+cbdb
445983,張徹,0,0,诗人,中唐,唐宋文学编年地图,5,map+cbdb
91975,王之渙,688,742,诗人,盛唐,唐宋文学编年地图,3,map+cbdb
22057,王績,590,644,诗人,隋唐之际,唐宋文学编年地图; 隋唐跨界,8,map+cbdb
13059,李淵（唐高祖）,566,635,皇帝,初唐,唐宋文学编年地图; 开国皇帝,13,map+cbdb
13060,李世民（唐太宗）,598,649,皇帝,初唐,贞观之治,114,cbdb
19244,李隆基（唐玄宗）,685,762,皇帝,盛唐,开元盛世; 安史之乱,124,cbdb
93663,武曌（武則天）,624,705,皇帝,初唐,中国唯一女皇帝,60,cbdb
19241,李治（唐高宗）,628,683,皇帝,初唐,,35,cbdb
19254,李忱（唐宣宗）,810,859,皇帝,晚唐,小太宗,12,cbdb
95068,薛濤,770,832,诗人(女),中唐,女诗人; 薛涛笺,32,cbdb
447292,李裹兒（安樂公主）,0,710,皇室(女),初唐,唐中宗之女; 权倾朝野,23,cbdb
91931,上官婉兒,664,710,政治家/诗人(女),初唐,女政治家; 才女,8,cbdb
31222,楊玉環,719,756,皇室(女),盛唐,杨贵妃; 四大美人,9,cbdb
93347,宋若昭,0,825,诗人(女),中唐,女诗人; 宋氏五姐妹,4,cbdb
93348,宋若憲,0,835,诗人(女),中唐,女诗人; 宋氏五姐妹,3,cbdb
31066,長孫氏（李世民妻）,601,636,皇室(女),初唐,长孙皇后; 贤后典范,2,cbdb
95210,崔鶯鶯,784,0,文学人物(女),中唐,《莺莺传》原型,2,cbdb
3840,狄仁傑,630,700,政治家,初唐,武周名相; 断案如神,6,cbdb
17130,房玄齡,578,648,政治家,初唐,贞观名相; 房谋杜断,8,cbdb
30864,杜如晦,585,630,政治家,初唐,贞观名相; 房谋杜断,2,cbdb
31068,長孫無忌,0,659,政治家,初唐,凌烟阁功臣第一,9,cbdb
26935,姚崇,651,721,政治家,盛唐,开元名相,8,cbdb
31275,宋璟,663,737,政治家,盛唐,开元名相; 姚宋,16,cbdb
32534,李林甫,0,752,政治家,盛唐,口蜜腹剑,9,cbdb
31221,楊國忠,0,756,政治家,盛唐,安史之乱导火索,3,cbdb
11524,劉晏,716,780,政治家,中唐,财政改革家,10,cbdb
32847,李泌,722,789,政治家,中唐,四朝元老,16,cbdb
20876,楊炎,727,781,政治家,中唐,两税法改革,7,cbdb
31312,李靖,570,649,军事家,初唐,凌烟阁功臣; 军神,4,cbdb
139166,尉遲恭,585,658,军事家,初唐,凌烟阁功臣; 门神,1,cbdb
379873,安祿山,0,0,军事家,盛唐,安史之乱发动者,7,cbdb
33062,哥舒翰,0,757,军事家,盛唐,安史之乱名将,7,cbdb
146097,李光弼,0,764,军事家,盛唐,平定安史之乱,5,cbdb
3409,黃巢,0,884,军事家,晚唐,黄巢起义,3,cbdb
33589,柳公權,778,865,书法家,中唐,柳体创始人,9,cbdb
93409,張旭,0,0,书法家,盛唐,草圣,4,cbdb
43849,吳道子,680,759,画家,盛唐,画圣,7,cbdb
22793,虞世南,558,638,书法家,初唐,初唐书法四大家,4,cbdb
30938,褚遂良,596,658,书法家/政治家,初唐,初唐书法四大家,3,cbdb
94595,釋皎然,0,0,诗人/僧人,中唐,僧人; 诗论家,181,cbdb
92452,司馬承禎,647,735,宗教,盛唐,道教宗师,12,cbdb
450129,釋鑒真,0,0,宗教,盛唐,东渡日本,5,cbdb
33859,陸羽,733,805,其他,中唐,茶圣; 《茶经》,21,cbdb
3685,歐陽詢,557,641,书法家,隋唐之际,隋唐跨界; 楷书四大家,4,cbdb/sui
92899,李百藥,565,648,史学家,隋唐之际,隋唐跨界; 《北齐书》,5,cbdb/sui
11965,王通,583,616,思想家,隋唐之际,隋唐跨界; 王勃祖父,4,cbdb/sui
444817,韋氏（中宗韋后）,0,710,政治家(女),初唐,唐中宗皇后; 韦后乱政,3,cbdb
